date,campaign_id,channel,campaign_type,spend,impressions,ctr,clicks,landing_page_views,add_to_cart,conversion_rate,purchases,aov,revenue,roi
2024-01-01,CMP_20240101_Google_Ads,Google Ads,Awareness,3890.45,165229,0.07,11572,8517,2285,0.1349,308,349.94,107782.25,26.7043
2024-01-01,CMP_20240101_Meta,Meta,Conversion,5861.31,171465,0.0785,13467,7354,1559,0.1248,194,277.44,53823.84,8.1829
2024-01-01,CMP_20240101_Email,Email,Conversion,5537.73,307719,0.1166,35893,20706,4729,0.1514,716,306.01,219099.62,38.5649
2024-01-01,CMP_20240101_Referral,Referral,Retention,14897.74,746644,0.092,68661,36588,7708,0.1593,1227,105.34,129252.1,7.676
2024-01-01,CMP_20240101_Organic,Organic,Retention,5754.18,409695,0.1052,43083,30700,4938,0.1831,904,372.97,337167.6,57.5952
2024-01-01,CMP_20240101_YouTube,YouTube,Awareness,11301.85,551198,0.1114,61378,42538,8996,0.0956,860,239.43,205907.01,17.2189
2024-01-02,CMP_20240102_Google_Ads,Google Ads,Retention,12138.33,582305,0.0702,40894,23367,3667,0.1476,541,295.39,159803.6,12.1652
2024-01-02,CMP_20240102_Meta,Meta,Awareness,12717.52,840134,0.0563,47313,29737,5281,0.0735,388,402.53,156183.05,11.2809
2024-01-02,CMP_20240102_Email,Email,Retention,7656.68,247047,0.1175,29025,23885,5281,0.1098,579,55.48,32121.35,3.1952
2024-01-02,CMP_20240102_Referral,Referral,Conversion,10865.18,229264,0.0848,19434,12229,1518,0.1877,284,233.0,66172.09,5.0903
2024-01-02,CMP_20240102_Organic,Organic,Awareness,12876.59,952876,0.1348,128427,83499,19182,0.15,2877,206.36,593695.21,45.1065
2024-01-02,CMP_20240102_YouTube,YouTube,Conversion,8791.28,508542,0.0541,27507,24158,3907,0.0967,377,197.49,74454.09,7.4691
2024-01-03,CMP_20240103_Google_Ads,Google Ads,Retention,10159.64,784553,0.1351,106026,87094,12797,0.0981,1255,331.4,415910.11,39.9375
2024-01-03,CMP_20240103_Meta,Meta,Retention,8668.67,554529,0.085,47141,26361,4152,0.0995,413,124.84,51557.7,4.9476
2024-01-03,CMP_20240103_Email,Email,Retention,8149.61,616738,0.0856,52809,34413,7047,0.148,1042,405.32,422343.17,50.8237
2024-01-03,CMP_20240103_Referral,Referral,Awareness,1022.87,37309,0.1049,3912,2255,456,0.1177,53,128.6,6815.62,5.6632
2024-01-03,CMP_20240103_Organic,Organic,Conversion,9541.86,619953,0.1243,77049,58243,14709,0.193,2838,67.34,191107.02,19.0283
2024-01-03,CMP_20240103_YouTube,YouTube,Conversion,7586.28,305288,0.0266,8127,5316,1256,0.1359,170,448.9,76313.67,9.0594
2024-01-04,CMP_20240104_Google_Ads,Google Ads,Retention,5647.83,264925,0.0677,17923,12753,2926,0.1913,559,345.42,193089.34,33.1882
2024-01-04,CMP_20240104_Meta,Meta,Retention,536.73,38736,0.1021,3955,2872,493,0.1064,52,339.04,17629.85,31.8469
2024-01-04,CMP_20240104_Email,Email,Awareness,3919.9,261817,0.1101,28825,20009,3329,0.1935,644,414.04,266638.73,67.0219
2024-01-04,CMP_20240104_Referral,Referral,Awareness,7741.32,366300,0.063,23076,11401,1867,0.1847,344,489.82,168497.68,20.766
2024-01-04,CMP_20240104_Organic,Organic,Awareness,11019.77,780977,0.1223,95515,55360,16031,0.2093,3355,472.56,1585442.84,142.8726
2024-01-04,CMP_20240104_YouTube,YouTube,Retention,8011.99,325981,0.0526,17142,13268,1500,0.0637,95,186.8,17746.31,1.215
2024-01-05,CMP_20240105_Google_Ads,Google Ads,Awareness,13934.63,1051017,0.092,96696,69786,10095,0.1544,1558,382.07,595257.81,41.7179
2024-01-05,CMP_20240105_Meta,Meta,Conversion,14955.68,616196,0.0698,43013,23094,5132,0.1894,972,412.95,401390.48,25.8387
2024-01-05,CMP_20240105_Email,Email,Retention,561.4,31679,0.064,2028,1144,268,0.1547,41,152.19,6239.96,10.115
2024-01-05,CMP_20240105_Referral,Referral,Awareness,12983.4,355941,0.1042,37098,23670,4277,0.1654,707,270.27,191079.9,13.7172
