customer_id,signup_date,age,gender,income,segment,signup_channel,contract_type
CUST_000000,2025-05-30,56,Female,20860,Individual,Organic,Quarterly
CUST_000001,2024-08-16,36,Male,57194,Individual,Organic,Quarterly
CUST_000002,2025-01-27,41,Male,87221,Individual,Referral,Annual
CUST_000003,2024-03-15,19,Female,123355,Individual,Referral,Quarterly
CUST_000004,2024-05-23,61,Male,126970,SME,Meta,Monthly
CUST_000005,2025-09-30,33,Male,85725,Individual,YouTube,Monthly
CUST_000006,2024-01-19,69,Female,136216,Individual,Email,Quarterly
CUST_000007,2025-02-20,26,Male,107313,Enterprise,Referral,Quarterly
CUST_000008,2024-02-06,26,Female,88148,Individual,Referral,Monthly
CUST_000009,2025-03-03,24,Female,145436,SME,Email,Annual
CUST_000010,2024-07-31,53,Female,89479,SME,YouTube,Quarterly
CUST_000011,2024-07-05,59,Female,60757,Individual,Meta,Quarterly
CUST_000012,2025-02-24,51,Female,112093,Enterprise,YouTube,Monthly
CUST_000013,2025-10-10,57,Male,43247,SME,Organic,Quarterly
CUST_000014,2024-07-20,42,Female,59099,Individual,Google Ads,Monthly
CUST_000015,2024-07-03,62,Male,68984,Enterprise,Google Ads,Monthly
CUST_000016,2025-12-12,41,Male,25258,Individual,Email,Quarterly
CUST_000017,2025-02-20,22,Female,46854,SME,Referral,Annual
CUST_000018,2025-08-09,25,Female,133569,Individual,YouTube,Monthly
CUST_000019,2024-09-21,52,Female,83335,Individual,Email,Monthly
CUST_000020,2025-03-02,54,Male,99309,SME,Organic,Quarterly
CUST_000021,2025-03-17,31,Male,141626,Individual,Meta,Monthly
CUST_000022,2025-08-27,30,Male,134238,SME,Google Ads,Monthly
CUST_000023,2024-09-15,49,Female,38141,Individual,Organic,Quarterly
CUST_000024,2024-08-21,46,Female,75820,Individual,Email,Quarterly
CUST_000025,2024-12-15,45,Female,129225,SME,Google Ads,Monthly
CUST_000026,2024-03-19,45,Female,132235,Individual,YouTube,Annual
CUST_000027,2025-12-23,45,Male,64262,Enterprise,Google Ads,Monthly
CUST_000028,2024-10-18,69,Male,75016,Individual,YouTube,Quarterly
CUST_000029,2025-10-27,26,Female,23748,SME,Meta,Monthly
CUST_000030,2024-10-17,32,Male,113557,Individual,Google Ads,Monthly
CUST_000031,2024-10-02,66,Female,82003,Individual,Meta,Quarterly
CUST_000032,2025-08-11,54,Male,145879,Individual,Google Ads,Annual
CUST_000033,2024-12-17,45,Female,20854,Individual,Google Ads,Quarterly
CUST_000034,2024-01-27,19,Male,70859,Individual,YouTube,Monthly
CUST_000035,2025-06-11,21,Male,118506,Individual,Google Ads,Quarterly
CUST_000036,2025-02-04,41,Male,72083,Enterprise,YouTube,Quarterly
CUST_000037,2025-06-04,65,Female,45184,Individual,Email,Monthly
CUST_000038,2024-03-13,46,Male,69811,Individual,Referral,Monthly
CUST_000039,2025-11-26,20,Male,126642,Individual,Referral,Annual
CUST_000040,2025-10-12,57,Female,108614,Enterprise,Google Ads,Quarterly
CUST_000041,2024-04-10,42,Female,67254,Individual,Meta,Monthly
CUST_000042,2025-03-26,33,Female,110735,Individual,Referral,Monthly
CUST_000043,2024-10-26,18,Female,132893,SME,Organic,Annual
CUST_000044,2025-09-23,26,Male,137858,SME,Email,Annual
CUST_000045,2025-04-22,50,Female,49299,Individual,Referral,Annual
CUST_000046,2025-07-19,37,Female,68354,Individual,Google Ads,Quarterly
CUST_000047,2024-10-29,46,Female,66975,Individual,Meta,Quarterly
CUST_000048,2024-03-27,33,Male,132296,Individual,Referral,Monthly
CUST_000049,2024-04-20,38,Female,23987,Individual,Email,Quarterly
CUST_000050,2025-08-16,50,Female,90091,Individual,YouTube,Monthly
CUST_000051,2025-05-14,63,Female,99909,Enterprise,Email,Annual
CUST_000052,2024-08-09,44,Male,69377,Individual,Google Ads,Quarterly
CUST_000053,2025-07-16,50,Male,113179,SME,Email,Quarterly
CUST_000054,2025-08-12,66,Female,93744,Enterprise,YouTube,Annual
CUST_000055,2025-10-18,23,Male,52635,Individual,Organic,Monthly
CUST_000056,2024-09-09,48,Male,86235,SME,Organic,Monthly
CUST_000057,2025-04-20,40,Male,138015,Individual,Meta,Quarterly
CUST_000058,2024-09-11,48,Female,86105,Enterprise,YouTube,Monthly
CUST_000059,2025-01-22,49,Male,31093,Individual,Email,Monthly
CUST_000060,2024-09-04,43,Male,47751,SME,Email,Quarterly
CUST_000061,2024-12-27,56,Male,25801,SME,Email,Monthly
CUST_000062,2024-04-25,41,Male,108891,Individual,Google Ads,Quarterly
CUST_000063,2025-04-07,37,Male,97575,SME,YouTube,Annual
CUST_000064,2025-04-12,40,Male,33403,Individual,YouTube,Monthly
CUST_000065,2025-05-23,39,Female,116825,Individual,Referral,Monthly
CUST_000066,2025-08-20,32,Female,35338,Individual,Google Ads,Annual
CUST_000067,2024-08-19,61,Female,134692,Individual,YouTube,Monthly
CUST_000068,2024-06-09,69,Female,89678,SME,Referral,Monthly
CUST_000069,2024-12-18,67,Female,131721,Individual,Google Ads,Monthly
CUST_000070,2024-09-01,36,Female,123481,Individual,Organic,Monthly
CUST_000071,2025-10-27,40,Male,109480,SME,Google Ads,Monthly
CUST_000072,2025-03-24,18,Male,145729,Individual,YouTube,Quarterly
CUST_000073,2024-02-22,57,Male,134548,SME,Organic,Quarterly
CUST_000074,2025-03-11,22,Female,141692,Individual,Referral,Quarterly
CUST_000075,2024-09-19,68,Male,92789,Individual,YouTube,Monthly
CUST_000076,2025-06-28,64,Male,71293,SME,Referral,Monthly
CUST_000077,2025-07-21,33,Female,141305,Individual,Referral,Monthly
CUST_000078,2025-11-04,47,Male,46646,Individual,YouTube,Quarterly
CUST_000079,2024-01-22,51,Female,60158,Individual,Email,Quarterly
CUST_000080,2025-10-25,18,Female,29540,SME,Meta,Monthly
CUST_000081,2025-11-06,49,Male,86387,Individual,Meta,Quarterly
CUST_000082,2025-12-23,50,Male,90588,Individual,Organic,Quarterly
CUST_000083,2025-02-28,18,Male,131783,Enterprise,Referral,Monthly
CUST_000084,2025-04-21,29,Male,23373,Individual,Email,Quarterly
CUST_000085,2024-03-23,40,Male,114297,Individual,Meta,Quarterly
CUST_000086,2024-06-23,51,Male,127112,Individual,Meta,Quarterly
CUST_000087,2025-06-09,62,Male,20412,Individual,Google Ads,Annual
CUST_000088,2025-05-19,53,Female,58756,SME,Email,Annual
CUST_000089,2024-01-29,65,Female,57841,Individual,YouTube,Quarterly
CUST_000090,2025-02-19,29,Male,40150,SME,Google Ads,Monthly
CUST_000091,2025-05-24,47,Male,130448,Individual,Google Ads,Monthly
CUST_000092,2024-09-23,36,Male,99459,Individual,Google Ads,Annual
CUST_000093,2025-02-28,26,Male,79163,Enterprise,Referral,Quarterly
CUST_000094,2025-10-15,64,Female,106900,Individual,Referral,Monthly
CUST_000095,2025-03-17,38,Female,138324,SME,Google Ads,Monthly
CUST_000096,2025-07-26,59,Female,31174,Enterprise,Meta,Monthly
CUST_000097,2024-08-03,40,Male,122634,SME,Referral,Quarterly
CUST_000098,2025-12-20,61,Male,97052,SME,YouTube,Quarterly
CUST_000099,2024-07-09,59,Male,113105,SME,Meta,Monthly
CUST_000100,2025-10-02,54,Female,46962,Individual,Organic,Monthly
CUST_000101,2024-05-10,69,Male,77854,Enterprise,Organic,Quarterly
CUST_000102,2025-10-29,23,Female,39870,Individual,Referral,Quarterly
CUST_000103,2024-02-21,44,Female,75129,Individual,YouTube,Monthly
CUST_000104,2024-09-19,30,Female,29435,Individual,Referral,Monthly
CUST_000105,2024-04-03,58,Male,72224,SME,Referral,Annual
CUST_000106,2025-02-05,66,Male,53591,Individual,Organic,Annual
CUST_000107,2025-02-09,61,Male,149695,Individual,Organic,Monthly
CUST_000108,2024-11-30,38,Male,96539,Individual,Email,Quarterly
CUST_000109,2024-12-16,35,Male,37640,Individual,Google Ads,Quarterly
CUST_000110,2024-04-25,20,Female,61430,Individual,Referral,Annual
CUST_000111,2024-08-07,33,Female,110469,Individual,Referral,Monthly
CUST_000112,2025-10-01,45,Female,81529,Individual,Referral,Quarterly
CUST_000113,2024-03-31,45,Male,147016,Individual,Email,Quarterly
CUST_000114,2025-03-24,34,Male,98752,Individual,Organic,Quarterly
CUST_000115,2024-09-17,46,Male,54349,Individual,YouTube,Annual
CUST_000116,2024-11-19,22,Male,95672,Individual,YouTube,Annual
CUST_000117,2025-12-19,62,Male,21015,Individual,Google Ads,Monthly
CUST_000118,2024-12-12,64,Male,148778,Individual,Google Ads,Annual
CUST_000119,2024-11-21,44,Male,66540,Individual,Google Ads,Monthly
CUST_000120,2025-12-04,18,Male,60943,Individual,Referral,Annual
CUST_000121,2025-07-30,48,Male,124293,Enterprise,Organic,Quarterly
CUST_000122,2024-05-28,27,Female,73330,Individual,YouTube,Monthly
CUST_000123,2024-11-25,18,Male,73932,SME,YouTube,Annual
CUST_000124,2024-10-29,57,Female,112193,Individual,Meta,Monthly
CUST_000125,2024-02-09,20,Male,52049,SME,YouTube,Annual
CUST_000126,2024-02-12,47,Female,57626,Individual,Organic,Quarterly
CUST_000127,2025-07-01,19,Male,73682,Enterprise,Referral,Annual
CUST_000128,2025-04-23,67,Female,93553,Individual,Email,Monthly
CUST_000129,2024-01-04,51,Female,114456,Individual,Referral,Monthly
CUST_000130,2025-09-11,59,Male,63088,Enterprise,Referral,Monthly
CUST_000131,2025-04-05,34,Female,137520,Individual,Organic,Annual
CUST_000132,2024-04-05,19,Male,124573,SME,Email,Monthly
CUST_000133,2025-08-07,40,Male,100719,Individual,YouTube,Quarterly
CUST_000134,2024-05-29,21,Female,145827,Individual,Email,Annual
CUST_000135,2025-10-07,44,Male,135359,Individual,Meta,Monthly
CUST_000136,2024-11-03,38,Male,107505,Individual,Organic,Monthly
CUST_000137,2024-07-01,23,Male,149668,Individual,Meta,Annual
CUST_000138,2025-09-23,66,Female,111865,SME,Google Ads,Monthly
CUST_000139,2024-07-24,64,Male,63221,Individual,YouTube,Monthly
CUST_000140,2024-02-25,65,Male,24432,Individual,Google Ads,Monthly
CUST_000141,2025-07-01,52,Male,107731,Individual,YouTube,Monthly
CUST_000142,2024-04-02,45,Male,87661,Individual,Organic,Monthly
CUST_000143,2024-05-04,68,Male,25122,SME,YouTube,Quarterly
CUST_000144,2025-03-01,62,Female,125977,Individual,Email,Monthly
CUST_000145,2025-12-06,42,Male,131076,Individual,Google Ads,Annual
CUST_000146,2025-01-09,39,Female,134813,Individual,Google Ads,Monthly
CUST_000147,2025-10-19,42,Female,27561,SME,Organic,Monthly
CUST_000148,2025-04-03,53,Male,46069,Individual,Google Ads,Quarterly
CUST_000149,2025-07-04,59,Male,80004,Individual,Meta,Quarterly
CUST_000150,2024-06-29,62,Female,23812,Enterprise,Organic,Monthly
CUST_000151,2025-09-15,23,Female,91158,Individual,YouTube,Monthly
CUST_000152,2024-01-15,47,Male,105655,SME,Email,Quarterly
CUST_000153,2025-06-16,57,Male,96323,Enterprise,YouTube,Monthly
CUST_000154,2025-11-14,45,Male,142883,Individual,YouTube,Monthly
CUST_000155,2024-10-19,55,Male,149597,Enterprise,Email,Quarterly
CUST_000156,2025-06-27,68,Male,117579,Individual,Meta,Monthly
CUST_000157,2025-11-27,36,Female,69376,SME,Referral,Monthly
CUST_000158,2025-07-05,43,Female,130911,Individual,YouTube,Monthly
CUST_000159,2024-10-17,53,Male,136714,Individual,YouTube,Monthly
CUST_000160,2024-03-15,27,Male,107958,Individual,Meta,Monthly
CUST_000161,2024-10-27,19,Female,28512,Individual,Google Ads,Quarterly
CUST_000162,2024-07-29,28,Male,99767,SME,Email,Monthly
CUST_000163,2025-05-05,66,Male,116573,SME,Meta,Monthly
CUST_000164,2025-09-15,28,Male,85441,Individual,Email,Annual
CUST_000165,2025-06-01,39,Female,25951,SME,Email,Quarterly
CUST_000166,2025-06-13,31,Female,108861,SME,Organic,Annual
CUST_000167,2025-12-22,31,Female,145501,Individual,Organic,Quarterly
CUST_000168,2025-06-11,35,Female,79207,Individual,YouTube,Annual
CUST_000169,2025-11-24,55,Male,107062,Individual,Google Ads,Monthly
CUST_000170,2024-07-25,50,Male,65558,Individual,Organic,Annual
CUST_000171,2024-07-28,68,Male,87506,Individual,Email,Quarterly
CUST_000172,2024-06-07,25,Female,107487,Individual,Organic,Monthly
CUST_000173,2024-11-12,47,Male,20922,SME,YouTube,Quarterly
CUST_000174,2025-05-18,54,Male,102870,Individual,Referral,Quarterly
CUST_000175,2024-10-06,27,Male,132250,SME,YouTube,Annual
CUST_000176,2024-01-19,48,Male,91907,Individual,Referral,Monthly
CUST_000177,2024-07-11,46,Female,84772,Individual,Referral,Quarterly
CUST_000178,2024-12-20,19,Male,36478,Individual,Referral,Quarterly
CUST_000179,2024-09-23,60,Male,120420,SME,YouTube,Annual
CUST_000180,2024-07-10,55,Female,32999,Individual,Meta,Annual
CUST_000181,2024-06-26,29,Female,95916,Individual,Meta,Quarterly
CUST_000182,2025-11-03,64,Female,119131,Individual,Referral,Quarterly
CUST_000183,2025-01-23,21,Male,80279,Individual,Meta,Quarterly
CUST_000184,2024-02-15,48,Female,75176,Individual,Organic,Monthly
CUST_000185,2025-05-18,58,Female,67882,Individual,YouTube,Monthly
CUST_000186,2024-07-01,43,Female,67523,Individual,Google Ads,Monthly
CUST_000187,2025-03-16,68,Female,83374,Individual,Google Ads,Quarterly
CUST_000188,2025-07-31,27,Female,59224,Individual,Google Ads,Monthly
CUST_000189,2025-04-01,69,Male,119929,Enterprise,Meta,Monthly
CUST_000190,2025-06-05,44,Female,141178,Individual,Email,Monthly
CUST_000191,2025-05-18,68,Female,131255,Individual,Referral,Monthly
CUST_000192,2024-09-10,41,Male,141008,SME,Email,Quarterly
CUST_000193,2025-11-05,45,Female,123892,Individual,Google Ads,Annual
CUST_000194,2025-06-22,66,Female,72853,SME,Organic,Monthly
CUST_000195,2025-12-30,24,Male,21759,Individual,Email,Monthly
CUST_000196,2024-11-11,36,Female,22079,Individual,Google Ads,Monthly
CUST_000197,2025-02-23,47,Female,113607,Individual,Google Ads,Quarterly
CUST_000198,2024-06-23,64,Female,48865,Individual,Google Ads,Monthly
CUST_000199,2025-08-02,55,Male,139614,Individual,Organic,Monthly
CUST_000200,2025-08-08,20,Female,123177,Individual,YouTube,Quarterly
CUST_000201,2024-04-09,50,Male,101974,Individual,Meta,Annual
CUST_000202,2024-10-26,25,Male,130904,Individual,Email,Quarterly
CUST_000203,2025-12-01,25,Female,51480,SME,Email,Annual
CUST_000204,2024-07-20,45,Male,99111,Individual,YouTube,Quarterly
