refund_id,order_id,refund_date,reason,amount
cli_0015_rf_00004,cli_0015_ord_00004,2026-04-20,product_issue,1531.65
cli_0015_rf_00016,cli_0015_ord_00016,2026-03-18,product_issue,911.4
cli_0015_rf_00019,cli_0015_ord_00019,2026-04-12,shipping_delay,2276.15
cli_0015_rf_00021,cli_0015_ord_00021,2026-03-31,product_issue,366.52
cli_0015_rf_00035,cli_0015_ord_00035,2026-01-03,product_issue,876.44
cli_0015_rf_00042,cli_0015_ord_00042,2026-04-19,shipping_delay,1378.11
cli_0015_rf_00060,cli_0015_ord_00060,2026-01-05,other,1380.88
cli_0015_rf_00076,cli_0015_ord_00076,2026-02-05,product_issue,1718.87
cli_0015_rf_00080,cli_0015_ord_00080,2026-04-08,duplicate_charge,805.98
cli_0015_rf_00092,cli_0015_ord_00092,2026-04-10,customer_request,658.48
cli_0015_rf_00110,cli_0015_ord_00110,2026-03-26,shipping_delay,2064.92
cli_0015_rf_00121,cli_0015_ord_00121,2026-01-02,other,2115.65
cli_0015_rf_00138,cli_0015_ord_00138,2026-02-26,customer_request,144.16
cli_0015_rf_00139,cli_0015_ord_00139,2025-12-27,customer_request,572.03
cli_0015_rf_00145,cli_0015_ord_00145,2026-01-02,shipping_delay,1094.53
cli_0015_rf_00152,cli_0015_ord_00152,2026-03-09,product_issue,199.53
cli_0015_rf_00160,cli_0015_ord_00160,2026-03-28,other,799.18
