query,page,clicks,impressions,ctr,avg_position,country
buy saas software,/blog/guide,561,19711,0.037,8.9,UK
best saas services,/pricing,1153,7506,0.0598,13.9,IN
top saas services,/pricing,809,454,0.0741,11.6,US
compare saas tools,/blog/guide,16,15492,0.0062,9.7,IN
compare saas tools,/blog/guide,793,28864,0.0476,11.2,US
buy saas software,/,398,26807,0.0588,22.4,US
best saas software,/case-studies,807,12818,0.0932,27.1,UK
best saas solution,/blog/guide,1026,11230,0.0547,6.3,US
how to saas solution,/product,169,10989,0.063,33.4,IN
best saas tools,/product,33,10691,0.047,34.9,UK
best saas solution,/product,428,35828,0.101,44.7,UK
best saas services,/product,880,5038,0.1195,35.2,IN
how to saas software,/product,380,34182,0.0412,30.2,US
buy saas solution,/pricing,1143,30720,0.0076,3.3,US
how to saas services,/product,313,39435,0.0095,13.1,IN
compare saas solution,/case-studies,554,17193,0.0508,42.3,US
buy saas tools,/,196,30310,0.0562,10.4,US
compare saas solution,/case-studies,852,21185,0.0485,8.2,UK
best saas software,/pricing,1156,14954,0.0683,43.8,UK
best saas services,/blog/guide,764,33608,0.0924,35.7,US
buy saas software,/blog/guide,172,26613,0.1171,38.0,IN
top saas solution,/case-studies,967,19842,0.0336,39.2,US
how to saas software,/case-studies,854,11248,0.0843,18.0,UK
buy saas services,/case-studies,647,12701,0.0962,15.2,US
buy saas tools,/blog/guide,1153,3042,0.0655,7.4,UK
top saas services,/pricing,259,21624,0.061,13.9,IN
how to saas tools,/pricing,1073,25571,0.02,11.8,US
how to saas tools,/blog/guide,1028,28672,0.0662,23.3,IN
compare saas tools,/product,765,32006,0.0512,7.7,UK
best saas services,/pricing,4,27450,0.0277,42.6,US
top saas services,/blog/guide,1048,34450,0.0302,4.9,IN
compare saas tools,/case-studies,193,22360,0.0225,19.5,US
best saas software,/product,352,12202,0.0313,32.9,IN
how to saas solution,/case-studies,681,42597,0.056,37.5,IN
buy saas tools,/product,819,38672,0.037,31.2,IN
best saas services,/product,1071,7460,0.1051,39.2,US
how to saas tools,/case-studies,259,28420,0.0693,31.8,US
compare saas software,/,1080,18304,0.0293,18.9,US
best saas software,/blog/guide,432,21635,0.0286,21.7,US
how to saas software,/product,312,7051,0.0726,44.2,US
