date,channel,campaign_name,ad_set_or_group,spend,impressions,clicks,conversions,ctr,cpc,cpa,status
2026-02-24,meta_ads,Prime Market Retargeting,C,475.61,1005919,13910,1575,0.0138,0.03,0.3,limited
2026-02-24,linkedin_ads,Prime Market Offer,C,260.59,636185,29846,2359,0.0469,0.01,0.11,active
2026-02-24,email,Prime Market Brand,A,458.43,605313,19212,318,0.0317,0.02,1.44,active
2026-02-25,meta_ads,Prime Market Prospecting,C,321.31,378764,21460,925,0.0567,0.01,0.35,paused
2026-02-25,linkedin_ads,Prime Market Launch,D,432.33,424455,15073,529,0.0355,0.03,0.82,active
2026-02-25,email,Prime Market Brand,D,313.31,530623,31075,733,0.0586,0.01,0.43,paused
2026-02-26,meta_ads,Prime Market Retargeting,D,272.6,554681,8330,147,0.015,0.03,1.85,paused
2026-02-26,linkedin_ads,Prime Market Brand,D,540.82,969816,59109,5167,0.0609,0.01,0.1,learning
2026-02-26,email,Prime Market Prospecting,A,430.32,440938,13551,405,0.0307,0.03,1.06,learning
2026-02-27,meta_ads,Prime Market Launch,C,343.98,807541,26915,2846,0.0333,0.01,0.12,active
2026-02-27,linkedin_ads,Prime Market Prospecting,C,453.33,788077,32407,3335,0.0411,0.01,0.14,active
2026-02-27,email,Prime Market Launch,B,403.8,794738,48753,2205,0.0613,0.01,0.18,limited
2026-02-28,meta_ads,Prime Market Offer,D,385.53,730625,33803,1105,0.0463,0.01,0.35,paused
2026-02-28,linkedin_ads,Prime Market Retargeting,C,375.02,852968,52956,1589,0.0621,0.01,0.24,learning
2026-02-28,email,Prime Market Brand,D,435.44,805210,14450,699,0.0179,0.03,0.62,active
2026-03-01,meta_ads,Prime Market Prospecting,D,265.07,285013,13453,709,0.0472,0.02,0.37,learning
2026-03-01,linkedin_ads,Prime Market Brand,B,445.89,1055755,11243,663,0.0106,0.04,0.67,paused
2026-03-01,email,Prime Market Offer,B,369.51,394061,10092,948,0.0256,0.04,0.39,learning
2026-03-02,meta_ads,Prime Market Offer,C,528.79,1134559,58817,4466,0.0518,0.01,0.12,paused
2026-03-02,linkedin_ads,Prime Market Prospecting,A,453.9,941459,53629,4902,0.057,0.01,0.09,active
2026-03-02,email,Prime Market Brand,C,318.54,487048,11975,1241,0.0246,0.03,0.26,paused
2026-03-03,meta_ads,Prime Market Prospecting,A,419.97,1039522,68241,6311,0.0656,0.01,0.07,paused
2026-03-03,linkedin_ads,Prime Market Retargeting,B,577.91,472428,24679,337,0.0522,0.02,1.71,paused
2026-03-03,email,Prime Market Brand,B,343.41,513922,31496,3594,0.0613,0.01,0.1,learning
2026-03-04,meta_ads,Prime Market Retargeting,D,540.51,1103486,38171,1127,0.0346,0.01,0.48,paused
2026-03-04,linkedin_ads,Prime Market Launch,D,396.69,459564,21461,2415,0.0467,0.02,0.16,active
2026-03-04,email,Prime Market Launch,B,542.52,608468,29411,3415,0.0483,0.02,0.16,active
2026-03-05,meta_ads,Prime Market Launch,B,484.38,655280,45592,2626,0.0696,0.01,0.18,learning
2026-03-05,linkedin_ads,Prime Market Offer,C,225.75,551725,20852,1108,0.0378,0.01,0.2,active
2026-03-05,email,Prime Market Offer,A,391.91,326994,7856,582,0.024,0.05,0.67,active
2026-03-06,meta_ads,Prime Market Offer,C,593.85,934151,12905,1093,0.0138,0.05,0.54,paused
2026-03-06,linkedin_ads,Prime Market Launch,C,281.31,494786,5799,601,0.0117,0.05,0.47,active
2026-03-06,email,Prime Market Launch,C,291.65,454343,10191,835,0.0224,0.03,0.35,active
2026-03-07,meta_ads,Prime Market Prospecting,C,371.69,785546,45466,807,0.0579,0.01,0.46,active
2026-03-07,linkedin_ads,Prime Market Launch,A,350.91,424718,24229,1846,0.057,0.01,0.19,paused
2026-03-07,email,Prime Market Brand,B,445.04,1001724,41413,2028,0.0413,0.01,0.22,limited
2026-03-08,meta_ads,Prime Market Brand,B,330.52,693498,32638,2053,0.0471,0.01,0.16,active
2026-03-08,linkedin_ads,Prime Market Prospecting,B,587.4,812708,29422,604,0.0362,0.02,0.97,paused
2026-03-08,email,Prime Market Launch,C,271.01,645295,38309,514,0.0594,0.01,0.53,active
2026-03-09,meta_ads,Prime Market Brand,C,479.44,948729,47597,781,0.0502,0.01,0.61,active
2026-03-09,linkedin_ads,Prime Market Brand,B,464.68,491107,26766,2362,0.0545,0.02,0.2,active
2026-03-09,email,Prime Market Launch,B,238.48,337236,14200,1102,0.0421,0.02,0.22,active
2026-03-10,meta_ads,Prime Market Prospecting,C,482.52,1064873,67173,7821,0.0631,0.01,0.06,active
2026-03-10,linkedin_ads,Prime Market Retargeting,A,311.41,351982,21478,1662,0.061,0.01,0.19,active
2026-03-10,email,Prime Market Brand,A,415.73,391263,10440,1168,0.0267,0.04,0.36,limited
2026-03-11,meta_ads,Prime Market Brand,D,334.7,422270,16380,185,0.0388,0.02,1.81,learning
2026-03-11,linkedin_ads,Prime Market Offer,C,462.0,1091659,27806,2748,0.0255,0.02,0.17,active
2026-03-11,email,Prime Market Retargeting,B,403.21,697497,46426,3687,0.0666,0.01,0.11,active
2026-03-12,meta_ads,Prime Market Launch,B,412.63,825853,22061,1482,0.0267,0.02,0.28,active
2026-03-12,linkedin_ads,Prime Market Brand,D,317.81,576181,8480,420,0.0147,0.04,0.76,active
2026-03-12,email,Prime Market Brand,C,380.98,828473,27101,2226,0.0327,0.01,0.17,learning
2026-03-13,meta_ads,Prime Market Prospecting,A,410.8,653787,23767,2184,0.0364,0.02,0.19,active
2026-03-13,linkedin_ads,Prime Market Offer,A,309.89,589856,34472,1456,0.0584,0.01,0.21,learning
2026-03-13,email,Prime Market Offer,C,176.09,149285,5706,286,0.0382,0.03,0.62,active
