session_id,date,user_id,source,device,country,landing_page,duration_seconds,converted
s_cli_0023_0_0,2026-02-24,d8712e83de70,organic,desktop,United States,/product,1318,1
s_cli_0023_0_1,2026-02-24,9ac8dc531b09,meta,tablet,UAE,/product,381,1
s_cli_0023_0_2,2026-02-24,22dddb086eb0,organic,tablet,Australia,/product,1438,0
s_cli_0023_0_3,2026-02-24,3a89566d9b9e,meta,desktop,Canada,/product,622,0
s_cli_0023_0_4,2026-02-24,501bf4b130fd,meta,mobile,UAE,/,187,0
s_cli_0023_0_5,2026-02-24,243059b48f67,direct,mobile,United Kingdom,/,528,1
s_cli_0023_0_6,2026-02-24,319317397fe9,google,mobile,United Kingdom,/contact,640,0
s_cli_0023_0_7,2026-02-24,685625557236,meta,mobile,Australia,/contact,308,0
s_cli_0023_0_8,2026-02-24,699404a163f4,direct,mobile,Canada,/,1502,0
s_cli_0023_0_9,2026-02-24,ecc75f7320f7,organic,desktop,United States,/blog/guide,1435,0
s_cli_0023_0_10,2026-02-24,d80fe57d9a44,google,desktop,Canada,/contact,389,1
s_cli_0023_0_11,2026-02-24,7b3bbd1e53e8,meta,mobile,Australia,/blog/guide,993,1
s_cli_0023_0_12,2026-02-24,4fb0323f3d3a,referral,mobile,United States,/product,518,0
s_cli_0023_0_13,2026-02-24,9b7e6278e993,google,desktop,Australia,/,1573,0
s_cli_0023_0_14,2026-02-24,a91df0698e09,referral,mobile,United Kingdom,/blog/guide,732,1
s_cli_0023_0_15,2026-02-24,fc9cb0a82aa2,google,tablet,UAE,/product,923,0
s_cli_0023_0_16,2026-02-24,f3f2b3c8be9b,direct,desktop,Canada,/blog/guide,1096,0
s_cli_0023_0_17,2026-02-24,7c13d6f762c5,direct,desktop,Australia,/pricing,1795,0
s_cli_0023_0_18,2026-02-24,16c72e0270d0,organic,desktop,Australia,/contact,1123,0
s_cli_0023_0_19,2026-02-24,a93024c9acda,direct,mobile,Australia,/pricing,1593,0
s_cli_0023_0_20,2026-02-24,1ec16f065565,google,desktop,Australia,/,779,0
s_cli_0023_0_21,2026-02-24,39df36af9388,google,mobile,India,/blog/guide,842,0
s_cli_0023_0_22,2026-02-24,9659bbb71dec,referral,tablet,United Kingdom,/pricing,1573,0
s_cli_0023_0_23,2026-02-24,8429d9d7e3dc,google,mobile,India,/product,64,0
s_cli_0023_0_24,2026-02-24,09b1c2ec63f5,meta,mobile,UAE,/,1487,0
s_cli_0023_0_25,2026-02-24,9ccb4014ad5e,direct,tablet,Canada,/blog/guide,889,0
s_cli_0023_0_26,2026-02-24,05b2968814e9,meta,desktop,UAE,/,1116,0
s_cli_0023_0_27,2026-02-24,c38e3c8577c6,google,mobile,United Kingdom,/,1306,1
s_cli_0023_0_28,2026-02-24,06e7e7041c63,meta,mobile,Canada,/blog/guide,1595,0
s_cli_0023_0_29,2026-02-24,1800e359224a,google,mobile,UAE,/contact,1143,0
s_cli_0023_0_30,2026-02-24,0f2ea157f96d,meta,desktop,United Kingdom,/contact,197,0
s_cli_0023_0_31,2026-02-24,369c16c4210a,google,tablet,Australia,/product,132,0
s_cli_0023_0_32,2026-02-24,5c2460cb72aa,direct,tablet,Australia,/product,1484,0
s_cli_0023_0_33,2026-02-24,4bceb34de490,meta,mobile,India,/blog/guide,1521,0
s_cli_0023_0_34,2026-02-24,aecddcbdae81,referral,mobile,UAE,/product,1101,0
s_cli_0023_0_35,2026-02-24,c0e1366bea3c,organic,tablet,United States,/product,29,1
s_cli_0023_0_36,2026-02-24,a0f44f5de5b4,google,desktop,Canada,/pricing,1567,1
s_cli_0023_0_37,2026-02-24,274a4571a011,direct,desktop,United Kingdom,/,1543,1
s_cli_0023_0_38,2026-02-24,88f64fd6b9ca,google,tablet,United States,/product,70,1
s_cli_0023_0_39,2026-02-24,a99c706277ab,organic,mobile,UAE,/blog/guide,817,0
s_cli_0023_0_40,2026-02-24,401759736712,direct,mobile,United States,/contact,1136,0
s_cli_0023_0_41,2026-02-24,5146fff8b060,direct,desktop,Australia,/contact,442,0
s_cli_0023_0_42,2026-02-24,a94f75118d18,organic,desktop,Australia,/product,835,0
s_cli_0023_0_43,2026-02-24,b03d3f77c8b3,direct,desktop,United Kingdom,/pricing,1458,0
s_cli_0023_0_44,2026-02-24,7350b6f3dbda,organic,tablet,India,/contact,1062,0
s_cli_0023_0_45,2026-02-24,41f0bc959645,direct,mobile,Canada,/pricing,1567,0
s_cli_0023_0_46,2026-02-24,ab16cedf9b6b,referral,mobile,Australia,/,1487,0
s_cli_0023_0_47,2026-02-24,18d9cfdc1f6b,meta,mobile,United States,/blog/guide,1410,0
s_cli_0023_0_48,2026-02-24,38c2c80fd7f1,google,tablet,United States,/contact,1308,0
s_cli_0023_0_49,2026-02-24,c516fedae2f5,meta,mobile,United States,/contact,1210,0
s_cli_0023_0_50,2026-02-24,c3ab84a37045,meta,tablet,United States,/pricing,634,1
s_cli_0023_0_51,2026-02-24,2cdf3a681565,google,tablet,United States,/product,1423,0
s_cli_0023_0_52,2026-02-24,c18f1a07da3a,referral,desktop,Australia,/,185,1
s_cli_0023_0_53,2026-02-24,b182e318dd14,google,mobile,United States,/product,1540,0
s_cli_0023_0_54,2026-02-24,ffd73987c307,meta,desktop,United States,/,1216,0
s_cli_0023_0_55,2026-02-24,9745a4a49ab3,referral,mobile,Canada,/product,630,0
s_cli_0023_0_56,2026-02-24,c449ea23e868,organic,mobile,UAE,/pricing,967,0
s_cli_0023_0_57,2026-02-24,21965a7de009,google,desktop,United States,/product,712,0
s_cli_0023_0_58,2026-02-24,43272c0656a6,organic,desktop,Canada,/product,1445,0
s_cli_0023_0_59,2026-02-24,9f0407ab0dcf,referral,mobile,Canada,/,682,1
s_cli_0023_0_60,2026-02-24,590eaf47697c,referral,desktop,India,/contact,1390,0
s_cli_0023_0_61,2026-02-24,c135f51b2c48,organic,desktop,UAE,/pricing,1538,1
s_cli_0023_0_62,2026-02-24,66eeb0a5dc89,direct,desktop,India,/product,1579,0
s_cli_0023_0_63,2026-02-24,10042041012d,referral,mobile,India,/contact,500,0
s_cli_0023_0_64,2026-02-24,0f5f03d366f5,meta,mobile,India,/blog/guide,754,1
s_cli_0023_0_65,2026-02-24,ca2f75b138e1,google,tablet,United States,/,1705,0
s_cli_0023_0_66,2026-02-24,4877a64ed5f9,google,mobile,UAE,/,151,1
s_cli_0023_0_67,2026-02-24,bb461503e087,google,tablet,India,/pricing,278,0
s_cli_0023_0_68,2026-02-24,6982d6bf61e8,organic,mobile,India,/pricing,1542,1
s_cli_0023_0_69,2026-02-24,39b87ec4682e,organic,tablet,UAE,/product,390,0
s_cli_0023_0_70,2026-02-24,d4b1b26b6810,direct,mobile,United Kingdom,/contact,253,1
s_cli_0023_0_71,2026-02-24,3a30e0348369,direct,desktop,Canada,/blog/guide,134,0
s_cli_0023_0_72,2026-02-24,a9eebb303b3a,meta,tablet,United Kingdom,/contact,1282,1
s_cli_0023_0_73,2026-02-24,65ba46d42aa5,google,desktop,United Kingdom,/blog/guide,255,0
s_cli_0023_0_74,2026-02-24,054119d91653,meta,tablet,United States,/blog/guide,1764,0
s_cli_0023_0_75,2026-02-24,0e61295d4ec6,google,tablet,Canada,/product,294,0
s_cli_0023_0_76,2026-02-24,1dd46dc5d21c,google,desktop,UAE,/contact,656,0
s_cli_0023_0_77,2026-02-24,8709abd77c94,meta,mobile,UAE,/,1425,1
s_cli_0023_0_78,2026-02-24,676c49e39d96,meta,mobile,Canada,/contact,880,0
s_cli_0023_0_79,2026-02-24,a0cc305103ed,referral,mobile,India,/contact,960,1
s_cli_0023_0_80,2026-02-24,3ba7662a0cff,organic,mobile,UAE,/pricing,1750,1
s_cli_0023_0_81,2026-02-24,c2942f815d2b,google,tablet,United Kingdom,/pricing,513,1
s_cli_0023_0_82,2026-02-24,79b596275ac4,google,desktop,United Kingdom,/,238,0
s_cli_0023_0_83,2026-02-24,72ceac8db7cc,direct,mobile,United States,/product,825,1
s_cli_0023_0_84,2026-02-24,55aef85cd54a,google,mobile,UAE,/product,1737,0
s_cli_0023_0_85,2026-02-24,5a48dadc2944,meta,mobile,United States,/pricing,102,0
