payment_id,invoice_id,payment_date,currency,amount,method,status
cli_0024_pay_0001,cli_0024_inv_0001,2025-12-03,GBP,1899.9,card,settled
cli_0024_pay_0002,cli_0024_inv_0002,2025-12-23,GBP,7376.18,card,settled
cli_0024_pay_0003,cli_0024_inv_0003,2026-04-10,GBP,10408.9,upi,settled
cli_0024_pay_0004,cli_0024_inv_0004,2025-12-29,GBP,11624.47,paypal,settled
cli_0024_pay_0005,cli_0024_inv_0005,2026-03-21,GBP,11000.59,bank_transfer,settled
cli_0024_pay_0006,cli_0024_inv_0006,2025-11-25,GBP,10945.31,upi,settled
cli_0024_pay_0009,cli_0024_inv_0009,2026-03-26,GBP,9234.49,paypal,settled
cli_0024_pay_0011,cli_0024_inv_0011,2025-12-17,GBP,10885.41,upi,settled
cli_0024_pay_0012,cli_0024_inv_0012,2026-03-10,GBP,4587.46,paypal,settled
cli_0024_pay_0013,cli_0024_inv_0013,2025-12-21,GBP,2865.09,bank_transfer,settled
cli_0024_pay_0014,cli_0024_inv_0014,2026-01-10,GBP,2278.84,bank_transfer,settled
cli_0024_pay_0015,cli_0024_inv_0015,2026-03-20,GBP,3487.25,bank_transfer,settled
cli_0024_pay_0016,cli_0024_inv_0016,2026-04-07,GBP,336.49,paypal,settled
cli_0024_pay_0017,cli_0024_inv_0017,2025-12-20,GBP,6692.46,paypal,settled
cli_0024_pay_0018,cli_0024_inv_0018,2025-12-15,GBP,8041.35,card,settled
cli_0024_pay_0019,cli_0024_inv_0019,2026-02-06,GBP,1658.23,upi,settled
cli_0024_pay_0022,cli_0024_inv_0022,2026-01-05,GBP,8651.32,paypal,settled
cli_0024_pay_0023,cli_0024_inv_0023,2026-02-16,GBP,9548.19,paypal,settled
cli_0024_pay_0024,cli_0024_inv_0024,2026-02-10,GBP,10923.23,upi,settled
cli_0024_pay_0025,cli_0024_inv_0025,2026-01-16,GBP,867.36,paypal,settled
cli_0024_pay_0026,cli_0024_inv_0026,2026-01-14,GBP,11297.05,bank_transfer,settled
cli_0024_pay_0028,cli_0024_inv_0028,2026-02-23,GBP,871.15,card,settled
cli_0024_pay_0029,cli_0024_inv_0029,2026-04-11,GBP,6225.23,card,settled
cli_0024_pay_0030,cli_0024_inv_0030,2026-04-01,GBP,5164.81,bank_transfer,settled
cli_0024_pay_0031,cli_0024_inv_0031,2025-12-03,GBP,5305.61,paypal,settled
cli_0024_pay_0033,cli_0024_inv_0033,2026-02-05,GBP,6450.96,bank_transfer,settled
cli_0024_pay_0034,cli_0024_inv_0034,2026-02-16,GBP,2954.86,card,settled
cli_0024_pay_0035,cli_0024_inv_0035,2026-01-22,GBP,1751.04,upi,settled
cli_0024_pay_0036,cli_0024_inv_0036,2026-03-06,GBP,4961.97,upi,settled
cli_0024_pay_0037,cli_0024_inv_0037,2026-02-13,GBP,7923.1,paypal,settled
cli_0024_pay_0040,cli_0024_inv_0040,2026-01-03,GBP,755.47,paypal,settled
cli_0024_pay_0041,cli_0024_inv_0041,2026-04-06,GBP,7430.64,upi,settled
cli_0024_pay_0042,cli_0024_inv_0042,2025-12-05,GBP,3915.98,paypal,settled
cli_0024_pay_0043,cli_0024_inv_0043,2026-03-18,GBP,7357.61,card,settled
cli_0024_pay_0044,cli_0024_inv_0044,2025-12-08,GBP,977.38,paypal,settled
cli_0024_pay_0045,cli_0024_inv_0045,2025-12-09,GBP,10975.09,paypal,settled
cli_0024_pay_0047,cli_0024_inv_0047,2026-03-27,GBP,9088.37,card,settled
cli_0024_pay_0048,cli_0024_inv_0048,2026-02-28,GBP,3150.79,bank_transfer,settled
cli_0024_pay_0049,cli_0024_inv_0049,2026-01-26,GBP,5797.49,bank_transfer,settled
