customer_id,tenure_months,monthly_logins,churn_probability,churned
CUST_000000,23,7,0.185,0
CUST_000001,21,14,0.17,0
CUST_000002,2,22,0.22,0
CUST_000003,13,34,0.15,0
CUST_000004,9,17,0.275,0
CUST_000005,9,9,0.315,1
CUST_000006,21,28,0.1,0
CUST_000007,22,14,0.16,0
CUST_000008,14,4,0.29,0
CUST_000009,20,8,0.11,0
CUST_000010,6,17,0.305,0
CUST_000011,10,18,0.26,0
CUST_000012,23,15,0.145,0
CUST_000013,12,14,0.26,0
CUST_000014,1,23,0.325,0
CUST_000015,17,17,0.195,0
CUST_000016,24,21,0.105,0
CUST_000017,24,12,0.05,0
CUST_000018,5,20,0.3,0
CUST_000019,16,19,0.195,0
CUST_000020,10,10,0.3,1
CUST_000021,6,18,0.3,0
CUST_000022,24,18,0.12,0
CUST_000023,3,15,0.345,0
CUST_000024,6,19,0.295,1
CUST_000025,7,13,0.315,0
CUST_000026,17,35,0.02,0
CUST_000027,21,17,0.155,0
CUST_000028,15,12,0.24,0
CUST_000029,13,14,0.25,1
CUST_000030,10,9,0.305,1
CUST_000031,24,8,0.17,1
CUST_000032,14,30,0.06,0
CUST_000033,15,20,0.2,0
CUST_000034,11,12,0.28,1
CUST_000035,9,25,0.235,0
CUST_000036,15,16,0.22,0
CUST_000037,9,11,0.305,0
CUST_000038,1,18,0.35,0
CUST_000039,20,5,0.125,0
CUST_000040,15,17,0.215,1
CUST_000041,10,16,0.27,0
CUST_000042,1,15,0.365,0
CUST_000043,5,22,0.19,1
CUST_000044,14,8,0.17,0
CUST_000045,6,17,0.205,0
CUST_000046,14,14,0.24,1
CUST_000047,8,21,0.265,0
CUST_000048,7,15,0.305,0
CUST_000049,21,21,0.135,0
CUST_000050,14,6,0.28,0
CUST_000051,7,13,0.215,1
CUST_000052,13,4,0.3,0
CUST_000053,8,20,0.27,1
CUST_000054,17,23,0.065,0
CUST_000055,14,7,0.275,0
CUST_000056,22,0,0.23,0
CUST_000057,4,7,0.375,1
CUST_000058,5,14,0.33,1
CUST_000059,17,17,0.195,1
CUST_000060,13,19,0.225,0
CUST_000061,13,20,0.22,0
CUST_000062,14,9,0.265,0
CUST_000063,6,21,0.185,0
CUST_000064,15,11,0.245,0
CUST_000065,1,22,0.33,0
CUST_000066,23,19,0.025,0
CUST_000067,22,25,0.105,0
CUST_000068,14,20,0.21,0
CUST_000069,6,34,0.22,0
CUST_000070,18,2,0.26,0
CUST_000071,7,16,0.3,0
CUST_000072,1,18,0.35,0
CUST_000073,11,31,0.185,0
